2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Jersey City | C4931014 |,60,,40,,,,Jersey City,C4931014,Pneumococcal,> 65 years of age,Pipeline,On Hold/Postponed,04/03/2026,06/12/2026,,,50,4967,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | C6271002 |,182,,153,,,,Jersey City,C6271002,Influenza,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,09/05/2026,10/01/2026,,,349,6168,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | D7265C00001 |,8,,6,,,,Jersey City,D7265C00001,Chronic Kidney Disease,adults greater than and equal to 18 years of age,Pipeline,FQ Submitted,06/06/2026,03/01/2028,,,8,7141,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | ELU42 |,10,,8,,,,Jersey City,ELU42,Diabetic Foot Ulcer,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,5/22/2026,,,10,6030,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | ERN: 7083 |,50,,35,,,,Jersey City,ERN: 7083,COVID-19,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,4/1/2027,,,50,2313,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | MAB02735 |,100,,80,,,,Jersey City,MAB02735,RSV Vaccine,18 to 49 years of age,Pipeline,Potential,08/01/2026,8/31/2026,,,100,4211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0
Jersey City | mRNA-1189-P301 |,15,,12,,,,Jersey City,mRNA-1189-P301,Epstein Barr,Teenage (12 to 17),Pipeline,Potential,04/01/2026,4/1/2027,,,15,2838,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Detroit | FYU-981-CRYS-302 |,4,,3,,,,Detroit,FYU-981-CRYS-302,Gout,"18 to 75 Years (Adults, Older Adults)",Closed,Closed,01/29/2026,10/1/2026,,,8,5739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | mRNA-1403-P301 | Additional Cohort,94,,56,,,,Jersey City,mRNA-1403-P301,Norovirus,> 60 years of age,Maintenance,Maintenance,11/26/2025,1/28/2026,,,94,6874,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,65,,40,,,,Jersey City,none at the moment,RSV Vaccine,18 to 49 years of age,Archive,Not Selected,04/01/2026,6/28/2026,,,65,5167,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,COVID-19,> 65 years of age,Pipeline,Pre-award,09/01/2026,9/1/2027,,,15,5758,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,Contraception,18 to 49 years of age,Pipeline,Pre-award,01/01/2026,11/14/2026,,,13,5769,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,Herpes Zoster,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,4/1/2027,,,10,5811,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,Plague,18 to 55 years of age,Pipeline,Pre-award,01/01/2026,1/1/2027,,,10,5828,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,Hypothyroidism,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,01/01/2027,,,8,5930,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,Pneumococcal,50 to 80 years of age,Pipeline,Pre-award,03/01/2026,05/31/2026,,,100,5965,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,8,6179,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,Erectile Dysfunction,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,07/31/2026,,,15,6202,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,COVID-19,50 to 65 years of age,Pipeline,Pre-award,04/01/2026,06/01/2026,,,50,6234,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,CVOT,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,07/01/2026,07/31/2027,,,125,6370,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | None at the moment |,0,,0,,,,Jersey City,None at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,03/01/2026,08/28/2026,,,14,6378,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,IBS,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,20,6441,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,Epstein Barr,18 to 20 years of age,Pipeline,Pre-award,07/01/2026,07/01/2027,,,50,6466,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,colorectal cancer (CRC),"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/30/2026,04/30/2027,,,8,6735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,Alzheimer's Disease,50 to 80 years of age,Pipeline,Pre-award,01/01/2026,01/01/2027,,,8,6832,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,ST-elevation Myocardial Infarction,"18 to 75 Years (Adults, Older Adults)",Archive,CRO Not Selected,07/01/2026,12/31/2026,,,6,6981,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,10,,5,,,,Jersey City,AAHI-AMVPX-123,Amoebiasis,18 to 55 years of age,Pipeline,Potential,05/02/2026,06/01/2026,,,30,7113,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the moment |,0,,0,,,,Jersey City,none at the moment,Influenza,adults greater than and equal to 18 years of age,Pipeline,Potential,07/23/2026,11/13/2026,,,150,7133,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | none at the tmoment |,0,,0,,,,Jersey City,none at the tmoment,Migraine,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,02/02/2026,02/02/2027,,,10,6075,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | OAB71527 |,50,,18,,,,Jersey City,OAB71527,Shingles,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,03/31/2026,03/31/2027,,,185,5048,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | PAB72224 |,0,,0,,,,Jersey City,PAB72224,Glabeller Lines,18 to 65 years of age,Pipeline,Pre-award,05/02/2026,5/29/2026,,,10,6110,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | PAB78438 |,0,,0,,,,Jersey City,PAB78438,Type 2 Diabetes,adults greater than and equal to 18 years of age,Pipeline,Pre-award,07/01/2026,7/1/2027,,,10,6056,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | RAB35102 |,8,,5,,,,Jersey City,RAB35102,Lyme,18 to 55 years of age,Pipeline,Potential,05/08/2026,05/30/2026,,,8,7087,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | ST-1891-301 |,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,4865,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Jersey City | TRS-018 |,0,,0,,,,Jersey City,TRS-018,Lyme,18 to 65 years of age,Archive,Not Selected,03/07/2026,05/31/2026,,,30,6972,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomball | C6481001 |,52,,60,,,,Tomball,C6481001,Influenza,adults greater than and equal to 18 years of age,Enrolling,Greenlight Received,03/13/2026,04/20/2026,,,77,7249,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | V118_24 |,113,,113,,,,Jersey City,V118_24,Influenza,> 65 years of age,Maintenance,Maintenance,11/03/2025,11/30/2025,,,250,5622,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | V201_05 |,250,,0,,,,Jersey City,V201_05,Influenza,18 to 49 years of age,Pipeline,On Hold/Postponed,03/01/2027,05/31/2027,,,250,2200,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | V201-08 |,110,,70,,,,Jersey City,V201-08,Influenza,Adolescent (5 to 12),Pipeline,Potential,04/18/2026,01/15/2027,,,100,4197,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,0,7,0,4,0,0,0,0,0,0,0,0,0,0
Jersey City | VAX31-104 |,60,,48,,,,Jersey City,VAX31-104,Pneumococcal,18 to 49 years of age,Pipeline,Potential,04/01/2026,04/01/2027,,,60,2510,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,4,0,5,0,3,0,4,0,5,0,3,0,4
Jersey City | VXB241-002 |,0,,0,,,,Jersey City,VXB241-002,RSV Vaccine,> 60 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,8,6991,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit | VAX31-105 |,24,,24,,,,Detroit,VAX31-105,Pneumococcal,Elderly Adults (50+),Enrolling,Enrollment Paused,02/09/2026,05/09/2026,,,65,2524,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | 1404-0051 |,10,,8,,,,Kool Kids,1404-0051,Obesity,Adolescent (5 to 12),Pipeline,Potential,04/11/2026,04/11/2028,,,10,3459,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | 219544 |,10,,8,,,,Kool Kids,219544,Meningococcal,1 to 9 years of age,Pipeline,On Hold/Postponed,01/03/2026,07/01/2026,,,33,6007,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit | VAX31-106 |,50,,50,,,,Detroit,VAX31-106,Pneumococcal,Elderly Adults (50+),Maintenance,Maintenance,01/19/2026,03/06/2026,,,80,2535,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | 289318 |,20,,0,,,,Kool Kids,289318,Chronic Sinusitis,18 to 49 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,20,4642,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | B1971067 |,50,,30,,,,Kool Kids,B1971067,Meningococcal,>12 months to <10 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,50,6723,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | BC#136259-01 | Study 1,4,,4,,,,Kool Kids,BC#136259-01,Pneumococcal,"Healthy full-terms infants, 42 to 89 days old, inclusive",Archive,CRO Not Selected,04/01/2026,01/30/2027,,,4,4568,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | BC#136259-01 | Study 2,2,,2,,,,Kool Kids,BC#136259-01,Pneumococcal,"Healthy full-term and premature infants, 42 to 89 days old, inclusive",Archive,CRO Not Selected,04/01/2026,01/30/2027,,,2,4609,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | BC#136259-01 | Study 3,5,,5,,,,Kool Kids,BC#136259-01,Pneumococcal,"Healthy Toddlers, Children & Adolescents",Archive,CRO Not Selected,04/01/2026,01/30/2027,,,5,4610,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit | VBD00002 |,80,,64,,,,Detroit,VBD00002,RSV Vaccine,Elderly Adults (50+),Pipeline,On Hold/Postponed,10/02/2027,,,,110,3855,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | C4931007 |,10,,8,,,,Kool Kids,C4931007,Pneumococcal,Infant (0 to 2),Pipeline,PSV Completed,03/07/2026,12/31/2026,,,24,6670,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
Tomball | CD_ABX464-202 |,1,,1,,,,Tomball,CD_ABX464-202,Crohn's Disease,"18 to 75 Years (Adults, Older Adults)",Startup,Site Selected,04/17/2026,07/01/2026,,,1,7135,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | LAB15601 |,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,3044,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | MAB07029 |,10,,7,,,,Kool Kids,MAB07029,MMRVNS Vaccine,Toddler (2 to 5),Pipeline,Potential,04/01/2026,01/28/2027,,,10,4448,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | mRNA-1975/1982-P102 |,60,,42,,,,Kool Kids,mRNA-1975/1982-P102,Lyme,Adolescent (5 to 12),Pipeline,On Hold/Postponed,01/01/2026,01/01/2027,,,60,3182,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | none at the moment |,0,,0,,,,Kool Kids,none at the moment,Migraine,6 to 17 years of age,Pipeline,Pre-award,01/01/2026,01/01/2027,,,10,6209,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | PSK00005 |,8,,4,,,,Kool Kids,PSK00005,Pneumococcal,Infant (0 to 2),Pipeline,On Hold/Postponed,01/04/2026,06/21/2026,,,8,3141,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit | VYD2311-PREV-002 |,102,,77,,,,Detroit,VYD2311-PREV-002,COVID-19,12 years of age and older,Closed,Site Not Initiated After Award,02/23/2026,03/30/2026,,,102,6906,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | QHD00014 |,10,,7,,,,Kool Kids,QHD00014,Pneumococcal,Infant (0 to 2),Pipeline,On Hold/Postponed,01/01/2026,02/28/2026,,,10,2742,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | QHD00014 | 2,10,,7,,,,Kool Kids,QHD00014,Pneumococcal,Infant (0 to 2),Pipeline,On Hold/Postponed,01/01/2026,02/28/2026,,,10,2743,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | QHD00014 | 3,10,,7,,,,Kool Kids,QHD00014,Pneumococcal,Infant (0 to 2),Pipeline,On Hold/Postponed,01/01/2026,02/28/2026,,,10,2744,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | V201-08 |,110,,70,,,,Kool Kids,V201-08,Influenza,Adolescent (5 to 12),Pipeline,Potential,04/18/2026,01/15/2027,,,100,4198,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,9,0,3,0,0,0,0,0,0,0,0,0,0
Kool Kids | V350 |,80,,64,,,,Kool Kids,V350,Epstein Barr,14 to 17 years of age,Pipeline,Backup Site,01/01/2026,10/01/2026,,,100,5837,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | VAD00003 |,5,,3,,,,Kool Kids,VAD00003,RSV Vaccine,Infant (0 to 2),Pipeline,On Hold/Postponed,01/01/2026,06/13/2026,,,5,3143,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | VAN00022 |,10,,8,,,,Kool Kids,VAN00022,Meningococcal,10 to 25 years of age,Pipeline,FQ Submitted,04/01/2026,07/01/2026,,,10,5835,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | VAN00025 |,8,,6,,,,Kool Kids,VAN00025,Meningococcal,10 to 25 years of age,Pipeline,FQ Submitted,04/01/2026,7/1/2026,,,10,5836,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | VAX-31-201 |,10,,3,,,,Kool Kids,VAX-31-201,Pneumococcal,Infant (0 to 2),Maintenance,Maintenance,01/06/2025,12/31/2025,,,2,4702,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kool Kids | VBT00003 |,10,,8,,,,Kool Kids,VBT00003,COVID-19,> 65 years of age,Pipeline,PSV Scheduled,12/01/2026,04/30/2026,,,10,7033,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominion (San Antonio) | VBD00002 |,80,,64,,,,Dominion (San Antonio),VBD00002,RSV Vaccine,Elderly Adults (50+),Pipeline,On Hold/Postponed,10/02/2027,,,,130,3948,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 1378-0021 |,4,,4,,,,MDC,1378-0021,Hypertension,18 to 49 years of age,Pipeline,Potential,04/01/2026,04/01/2027,,,4,4341,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 1404-0071 |,50,,38,,,,MDC,1404-0071,Obesity,18 to 49 years of age,Pipeline,Potential,04/01/2026,03/31/2028,,,50,3457,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,4,0,3,0,3,0,3,0,3,0,3,0,3
MDC | 218139 |,200,,140,,,,MDC,218139,Influenza,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,200,2640,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 218741 |,50,,35,,,,MDC,218741,RSV_Flu Vaccine,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,50,3025,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 221847 |,200,,160,,,,MDC,221847,COVID-19,adults greater than and equal to 18 years of age,Archive,DM Declined,10/01/2026,04/16/2027,,,250,5007,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 23-14695 |,N/A,,8,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,3590,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MDC | 286706 |,10,,,,,,MDC,286706,COPD,18 to 49 years of age,Pipeline,Potential,10/12/2026,10/01/2027,,,10,3764,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | 289318 |,20,,0,,,,MDC,289318,Chronic Sinusitis,18 to 49 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,20,4643,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | BC #139639-01 |,10,,0,,,,MDC,BC #139639-01,UTI,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5470,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | C4931009 |,0,,0,,,,MDC,C4931009,Pneumococcal,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,04/21/2026,08/17/2026,,,212,4934,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | C4931014 |,0,,0,,,,MDC,C4931014,Pneumococcal,> 65 years of age,Pipeline,On Hold/Postponed,04/03/2026,06/12/2026,,,50,4968,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | C5301007/ERN 7053 |,60,,40,,,,MDC,C5301007/ERN 7053,Migraine,18 to 49 years of age,Pipeline,On Hold/Postponed,01/01/2026,06/17/2029,,,60,2377,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | D6972C00002/D6972C00003 |,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,3125,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | ERN: 7083 |,50,,35,,,,MDC,ERN: 7083,COVID-19,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,50,2307,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | J3L-MC-EZEF |,15,,12,,,,MDC,J3L-MC-EZEF,Atherosclerotic cardiovascular disease,adults greater than and equal to 18 years of age,Pipeline,Potential,04/01/2026,11/28/2026,,,15,6012,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | mRNA-1189-P301 |,15,,12,,,,MDC,mRNA-1189-P301,Epstein Barr,Teenage (12 to 17),Pipeline,Potential,04/01/2026,04/01/2027,,,15,2841,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
MDC | mRNA-1468-P301 |,150,,120,,,,MDC,mRNA-1468-P301,Herpes Zoster,Elderly Adults (50+),Pipeline,On Hold/Postponed,06/01/2026,06/01/2027,,,150,2487,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | No information |,50,,0,,,,MDC,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,02/03/2027,,,50,5090,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | No information |,50,,0,,,,MDC,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5097,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | No information |,50,,0,,,,MDC,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5104,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | No information |,50,,0,,,,MDC,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5111,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC | No information |,50,,0,,,,MDC,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5121,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
