Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
Pipeline,2260,6184,Tomball | none at the moment |,Tomball 13406,Dr. Vicki Miller,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6184Tomball | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Tomball 13406,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6183,San Antonio | none at the moment |,San Antonio,Dr. Hilario Alvarado,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6183San Antonio | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,San Antonio,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6182,Sugarland | none at the moment |,Sugarland,Dr. Lisa Holloway,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6182Sugarland | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Sugarland,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,-,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6181,Phoenix | none at the moment |,Phoenix,Dr. Danielle Armas,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6181Phoenix | none at the moment |,,8,0,"68,000",0,No Priority,0,Q2,Others,Pipeline 2026,Phoenix,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6180,Philadelphia | none at the moment |,Philadelphia,Megan Algeo,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6180Philadelphia | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Philadelphia,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6179,Jersey City | none at the moment |,Jersey City,Dr. Asisat Ope,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6179Jersey City | none at the moment |,,8,0,"68,000",0,No Priority,0,Q2,Others,Pipeline 2026,Jersey City,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6178,Detroit | none at the moment |,Southfield,Dr. Rebecca Rivard,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6178Detroit | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Southfield,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6177,Dallas-Fort Worth | none at the moment |,Dallas - Fort Worth,Dr. Heather Myers,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,3/31/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6177Dallas-Fort Worth | none at the moment |,,10,0,"85,000",0,No Priority,0,Q1,Others,Pipeline 2026,Dallas - Fort Worth,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6176,Cyfair | none at the moment |,CyFair,Dr. Tiffany Huynh,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6176Cyfair | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,CyFair,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6175,Chicago | none at the moment |,River Forest,Dr. Erika Clayton,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6175Chicago | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,River Forest,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6174,Boston | none at the moment |,Brookline,Dr. Basmah Jalil,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6174Boston | none at the moment |,,8,0,"68,000",0,No Priority,0,Q2,Others,Pipeline 2026,Brookline,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6173,Bellaire | none at the moment |,Bellaire,Dr. Sheila E Schmidt,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6173Bellaire | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Bellaire Non-Psych,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2260,6172,Albuquerque | none at the moment |,Albuquerque,Dr. Sally Fisher,none at the moment,Pipeline,Pre-award,Abbvie,Medpace,HSV,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500", Medpace-Protocol/CRO Code/ERN-Phase 3 Genital Herpes ,Medpace,Abbvie,In-Active,Pipeline 2026,6172Albuquerque | none at the moment |,,10,0,"85,000",0,No Priority,0,Q2,Others,Pipeline 2026,Albuquerque,Vaccine-Other,0% - 10%,Pipeline,Other,Other,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,360,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6235,Seattle | none at the moment |,Seattle,Dr. Emily Zaragoza,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6235Seattle | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Seattle,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6234,Jersey City | none at the moment |,Jersey City,Dr. Asisat Ope,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6234Jersey City | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Jersey City,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6233,Tomball | none at the moment |,Tomball 13406,Dr. Muhammad Irfan,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6233Tomball | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Tomball 13406,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6232,Sugarland | none at the moment |,Sugarland,Dr. Lisa Holloway,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6232Sugarland | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Sugarland,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6231,San Antonio | none at the moment |,San Antonio,Dr. Hilario Alvarado,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6231San Antonio | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,San Antonio,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6230,Philadelphia | none at the moment |,Philadelphia,Dr. David Wheeler,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6230Philadelphia | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Philadelphia,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6229,Detroit | none at the moment |,Southfield,Dr. Rebecca Rivard,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6229Detroit | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Southfield,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,,-,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6228,Dallas-Fort Worth | none at the moment |,Dallas - Fort Worth,Dr. Heather Myers,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6228Dallas-Fort Worth | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Dallas - Fort Worth,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6227,Cyfair | none at the moment |,CyFair,Dr. Tiffany Huynh,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6227Cyfair | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,CyFair,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6226,Chicago | none at the moment |,River Forest,Dr. Erika Clayton,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6226Chicago | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,River Forest,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2266,6225,Albuquerque | none at the moment |,Albuquerque,Dr. Sally Fisher,none at the moment,Pipeline,Pre-award,No Information,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,4/1/2026,Non-Psych,"8,500",PPD-BC# 143382-01-Phase 1 Covid-19 Booster,PPD,No Information,In-Active,Pipeline 2026,6225Albuquerque | none at the moment |,,50,0,"425,000",0,No Priority,0,Q2,PPD,Pipeline 2026,Albuquerque,Vaccine-COVID,0% - 10%,Pipeline,Other,PPD,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,239,151 to 300 Days,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2265,6216,Dallas-Fort Worth | AIC316-01-III-01 |,Dallas - Fort Worth,Dr. Heather Myers,AIC316-01-III-01,Cancelled,DM Declined,AiCuris Anti-infectives Cures AG (AiCuris),IQVIA,HSV,Infectious Disease,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Cancelled,0,0%,,5/28/2026,Non-Psych,"20,000",AiCuris Anti-infectives Cures AG/IQVIA-AIC316-01-III-01/300320-Phase 3 Herpes Simplex Virus Infection,IQVIA,AiCuris Anti-infectives Cures AG (AiCuris),In-Active,Cancelled,6216Dallas-Fort Worth | AIC316-01-III-01 |,,0,0,0,0,No Priority,0,Q2,IQVIA,Cancelled,Dallas - Fort Worth,Vaccine-Other,0% - 10%,Not Include,Other,IQVIA,Not Priority,0,0,0,  - ,,  - ,10,14,  20 ,,,0,,10,  10 ,14,  6 ,,354,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2264,6210,Tomball | none at the moment |,Tomball 13406,Dr. Muhammad Irfan,none at the moment,Pipeline,Pre-award,No Information,Syneos Health,Migraine,CNS,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,1/1/2026,Psych,"20,000", Syneos Health-7071540-Phase 3 Peds Acute Mirgraine ,Syneos Health,No Information,In-Active,Pipeline 2026,6210Tomball | none at the moment |,,10,0,"200,000",0,No Priority,0,Q1,Syneos Health,Pipeline 2026,Tomball 13406,Psychiatry,0% - 10%,Pipeline,Other,Syneos Health,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,354,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2264,6209,Kool Kids | none at the moment |,CyFair,Dr. Kashif Ali,none at the moment,Pipeline,Pre-award,No Information,Syneos Health,Migraine,CNS,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,1/1/2026,Psych,"20,000", Syneos Health-7071540-Phase 3 Peds Acute Mirgraine ,Syneos Health,No Information,In-Active,Pipeline 2026,6209Kool Kids | none at the moment |,,10,0,"200,000",0,No Priority,0,Q1,Syneos Health,Pipeline 2026,CyFair,Psychiatry,0% - 10%,Pipeline,Other,Syneos Health,Not Priority,0,0,0,  - ,, - ,0,0,0,,,0,,0,0,0,0,,354,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2289,6333,Tomball | none at the moment |,Tomball 13406,Dr. Vicki Miller,none at the moment,Pipeline,Pre-award,No Information,Syneos Health,Celiac Disease,Gastroenterology,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Pipeline,0,0%,,1/1/2026,Non-Psych,"20,000", Syneos Health-​​7067877-Phase 1 Celiac Study ,Syneos Health,No Information,In-Active,Pipeline 2026,6333Tomball | none at the moment |,,10,0,"200,000",0,No Priority,0,Q1,Syneos Health,Pipeline 2026,Tomball 13406,Gastroenterology,0% - 10%,Pipeline,Other,Syneos Health,Not Priority,0,0,0,  - ,,  - ,0,0,  - ,,,0,,0,  - ,0,  - ,,346,301 Onwards,N/A,Not Included,,0,0.00,,0,0,0,0,0
Pipeline,2286,6314,Tomball | D8750C00011 |,Tomball 13406,Dr. Vicki Miller,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6314Tomball | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,Tomball 13406,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,  5 ,,,0,,0,  5 ,0,  5 ,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6313,Sugarland | D8750C00011 |,Sugarland,Dr. Kecia Leigh,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6313Sugarland | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,Sugarland,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,5,,,0,,0,5,0,5,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6312,San Antonio | D8750C00011 |,San Antonio,Dr. Hilario Alvarado,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6312San Antonio | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,San Antonio,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,  5 ,,,0,,0,  5 ,0,  5 ,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6311,NOVA (Dallas) | D8750C00011 |,NOVA,Dr. Mustafa Alibhai,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6311NOVA (Dallas) | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,NOVA,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,  5 ,,,0,,0,  5 ,0,  5 ,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6310,Miami | D8750C00011 |,Miami,Noreen Hamed Shaaban,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6310Miami | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,Miami,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,5,,,0,,0,5,0,5,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6309,FSS | D8750C00011 |,FSS,Jeremy McConnell,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6309FSS | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,FSS,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,  5 ,0,0,0,,0,  5 ,0,  5 ,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
Pipeline,2286,6308,Detroit | D8750C00011 |,Southfield,Dr. Rebecca Rivard,D8750C00011,Pipeline,FQ Submitted,AstraZeneca,None,Obesity,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,"3,824","3,956","4,088","3,956","4,088","19,912.09",Pipeline,0,30%,,8/1/2026,Non-Psych,"20,000", AstraZeneca-D8750C00011-Phase 3  Obesity w/o T2D ,No CRO,AstraZeneca,Active,Pipeline 2026,6308Detroit | D8750C00011 |,,4,4,"80,000","24,000",2286,"24,000",Q3,No CRO,Pipeline 2026,Southfield,Obesity,11% - 30%,Pipeline,AstraZeneca,Other,2286,0,0,"7,780","  12,132 ",,  4 ,0,0,  5 ,,,0,,0,  5 ,0,  5 ,,282,151 to 300 Days,N/A,Not Included,,"19,912",0.00,,0,0,0,0,0
